"Ward_No","Ward Name","Parks #","Park area (sq m)"
"71","Hegganahalli","2","2943.19"
"72","Herohalli","27","110037.05"
"73","Kottegepalya","22","64783.08"
"74","Shakthi Ganapathi Nagar","4","14165.96"
"75","Shankar Matt","16","34953.63"
"76","Gayithri Nagar","3","16947.71"
"77","Dattatreya Temple Ward","2","2370.79"
"78","Pulakeshi Nagar","11","64726.89"
"79","Sarvagna Nagar","7","40254.93"
"80","Hoysala Nagar","17","67642.01"
"81","Vijnana Nagar","4","9079.55"
"82","Garudachar palya","4","17193.93"
"83","Kadugodi","5","43598.85"
"84","Hagadur","18","66851.51"
"85","Dodda Nekkundi","28","75082.02"
"86","Marathahalli","1","9987.51"
"87","HAL Airport","11","71105.52"
"88","Jeevanbhima Nagar","7","21565.77"
"89","Jogupalya","3","4910.3"
"90","Halsoor","9","75990.61"
"91","Bharathi Nagar","2","3610.27"
"92","Shivaji Nagar","1","702.84"
"93","Vasanth Nagar","12","555682.41"
"94","Gandhi Nagar","18","137209.8"
"95","Subhash Nagar","6","40208.26"
"96","Okalipuram","4","17544.52"
"97","Dayananda Nagar","2","1577.1"
"98","Prakash Nagar","2","46826.65"
"99","Rajaji Nagar","8","19480.05"
"100","Basaveshwara Nagar","3","21279.54"
"101","Kamakshipalya","5","20814.83"
"102","Vrisahbhavathi Nagar","2","3853.89"
"103","Kaveripura","10","38257.51"
"104","Govindaraja Nagar","10","18191.33"
"105","Agrahara Dasarahalli","9","27897.08"
"106","Dr.Raj Kumar Ward","17","52755.86"
"107","Shiva Nagar","4","14886.63"
"108","Sri Rama Mandir Ward","11","25237.43"
"109","Chickpete","0","0"
"110","Sampangiram Nagar","10","816445.8"
"111","Shantala Nagar","12","265578.87"
"112","Domlur","43","104809.89"
"113","Konena Agrahara","7","485242.71"
"114","Agaram","7","20401.37"
"115","Vannar Pet","16","37818.75"
"116","Nilasandra","0","0"
"117","Shanthi Nagar","3","25979.14"
"118","Sudham Nagar","4","11278.72"
"119","Dharmaraya Swamy Temple","5","28726.3"
"120","Cottonpete","4","20489.1"
"121","Binni Pete","2","3678.16"
"122","Kempapura Agrahara","1","4697.69"
"123","Vijaya Nagar","15","25178.8"
"124","Hosahalli","12","24233.63"
"125","Marenahalli","15","25411.83"
"126","Maruthi Mandir Ward","14","22641.61"
"127","Mudalapalya","6","11138.22"
"128","Nagarabhavi","27","59631.9"
"129","Jnana Bharathi Ward","99","284158.15"
"130","Ullalu","47","125594.46"
"131","Nayandahalli","8","24020.12"
"132","Attiguppe","40","81136.01"
"133","Hampi Nagar","26","109500.03"
"134","Bapuji Nagar","1","1701.55"
"135","Padarayanapura","2","1113.78"
"136","Jagajivanaram Nagar","3","24712.35"
"137","Rayapuram","2","15994.01"
"138","Chelavadi Palya","0","0"
"139","KR Market","2","2071.95"
"140","Chamraja Pet","4","14484.13"
"141","Azad Nagar","5","10985.35"
"142","Sunkenahalli","11","64956.52"
"143","Vishveshwara Puram","5","641027.76"
"144","Siddapura","2","6153.28"
"145","Hombegowda Nagar","7","21661.76"
"146","Lakkasandra","3","5845.58"
"147","Adugodi","3","7985.17"
"148","Ejipura","4","41156.48"
"149","Varthur","2","5099.53"
"150","Bellanduru","43","105226.65"
"151","Koramangala","24","106228.99"
"152","Suddagunte Palya","5","66388.68"
"153","Jaya Nagar","13","278469.24"
"154","Basavanagudi","6","82110.53"
"155","Hanumanth Nagar","11","174614.82"
"156","Sri Nagar","3","15020.35"
"157","Gali Anjenaya Temple Ward","3","9604.91"
"158","Deepanjali Nagar","13","49701.82"
"159","Kengeri","27","121034.87"
"160","Raja Rajeshawari Nagar","48","258269.69"
"161","Hosakerehalli","6","10857.73"
"162","Giri Nagar","9","40892.4"
"163","Katriguppe","7","11275.15"
"164","Vidya Peeta Ward","9","18661.4"
"165","Ganesh Mandir Ward","12","55496.99"
"166","Kari Sandra","3","6474.54"
"167","Yediyur","7","39981.46"
"168","Pattabhi Ram Nagar","22","143122.14"
"169","Byra Sandra","6","74419.84"
"170","Jaya Nagar East","16","19433.78"
"171","Gurappana Palya","1","2582.31"
"172","Madivala","6","16992.96"
"173","Jakka Sandra","6","39423.63"
"174","HSR Layout","39","251459.85"
"175","Bommanahalli","1","2491.58"
"176","BTM Layout","20","74005.24"
"177","JP Nagar","22","51484.18"
"178","Sarakki","16","44893.78"
"179","Shakambari Narar","12","79555.72"
"180","Banashankari Temple Ward","3","3144.91"
"181","Kumara Swamy Layout","23","95893.52"
"182","Padmanabha Nagar","14","39498.18"
"183","Chikkala Sandra","6","12062.41"
"184","Uttarahalli","78","287792.93"
"185","Yelchenahalli","5","12927.42"
"186","Jaraganahalli","1","7017.14"
"187","Puttenahalli","3","5665.11"
"188","Bilekhalli","14","48088.71"
"189","Honga Sandra","3","6692.48"
"190","Mangammana Palya","6","31832.02"
"191","Singa Sandra","35","108861.87"
"192","Begur","20","48995.2"
"193","Arakere","13","53099.33"
"194","Gottigere","39","84135.34"
"195","Konankunte","21","57224.58"
"196","Anjanapura","37","154613.61"
"197","Vasanthpura","34","93634.9"
"198","Hemmigepura","94","534311.71"
"Total","","2,377","1,34,15,243"
